NPG,NPxG,NPxG90,NPxG90xA90,a,apps,goals,id,min,number,player,team,xA,xA90,xG,xG90,xG90xA90,xGBuildup,xGBuildup90,xGChain,xGChain90
11,12.525751769542694,1.0438126474618912,1.1158333135147889,0,12,12,8260,1080,1,Erling Haaland,Manchester City,0.8642479926347733,0.07202066605289777,13.286920607089996,1.1072433839241664,1.1792640499770641,1.3429269380867481,0.11191057817389567,10.887216567993164,0.9072680473327637
7,6.204321552067995,0.526782018571811,0.8801276375240875,6,12,10,1250,1060,2,Mohamed Salah,Liverpool,4.161626178771257,0.35334561895227656,8.48782804608345,0.7206646454221798,1.0740102643744562,4.854185294359922,0.41214780801169154,14.508489519357681,1.2318528837190483
7,4.649709701538086,0.403542789911695,0.4879319111537278,0,13,9,4456,1037,3,Chris Wood,Nottingham Forest,0.9723502080887556,0.0843891212420328,6.17204737663269,0.5356646710674466,0.6200537923094794,0.9313909728080034,0.08083431779433009,5.287322793155909,0.45888047385152536
6,2.354475662112236,0.18126844276313195,0.3980120349200594,1,13,8,6552,1169,4,Bryan Mbeumo,Brentford,2.8152584359049797,0.21674359215692743,3.8768133744597435,0.2984715172809041,0.5152151094378316,3.5199226178228855,0.27099489786489284,7.594667620956898,0.5847049494320965
7,6.279858589172363,0.7710603997619546,0.831513989711686,1,10,7,5786,733,5,Yoane Wissa,Brentford,0.4923609048128128,0.06045358994973145,6.279858589172363,0.7710603997619546,0.831513989711686,2.228445626795292,0.27361542484526097,8.899145320057869,1.0926645004163822
7,3.4057011865079403,0.28433497846541245,0.5850828131436195,3,13,7,7080,1078,6,Matheus Cunha,Wolverhampton Wanderers,3.6022907309234142,0.30074783467820715,3.4057011865079403,0.28433497846541245,0.5850828131436195,2.4673391710966825,0.2059930662325616,7.575509950518608,0.6324637249969153
6,4.40405810251832,0.3753458610100841,0.8799714016177776,5,12,7,8497,1056,7,Cole Palmer,Chelsea,5.920939676463604,0.5046255406076935,5.165227059274912,0.4402182152791118,0.9448437558868054,2.580423552542925,0.21992246186445383,10.883350664749742,0.9275582952911712
7,7.024678338319063,0.6322210504487157,0.794757641851902,3,12,7,10048,1000,8,Nicolas Jackson,Chelsea,1.8059621267020702,0.16253659140318633,7.024678338319063,0.6322210504487157,0.794757641851902,1.7796310018748045,0.1601667901687324,9.421004340052605,0.8478903906047344
6,5.799154661595821,0.46269851023370917,0.5199320310171931,2,13,6,501,1128,9,Danny Welbeck,Brighton,0.7173267938196659,0.05723352078348398,5.799154661595821,0.46269851023370917,0.5199320310171931,3.452858567237854,0.2754940346200415,8.336742978543043,0.6651656631816257
6,8.397719137370586,0.7799739136876706,0.9134124634620205,2,12,6,8865,969,10,Ollie Watkins,Aston Villa,1.4366883859038353,0.13343854977435002,8.397719137370586,0.7799739136876706,0.9134124634620205,1.7697857692837715,0.16437638723997877,9.035463742911816,0.8392071587843791
6,5.064287453889847,0.4660387227505994,0.5541091681989424,1,13,6,8868,978,11,Liam Delap,Ipswich,0.957032173871994,0.08807044544834301,5.064287453889847,0.4660387227505994,0.5541091681989424,1.1086296532303095,0.10202113373285057,6.769512765109539,0.6229612974027183
6,3.301856629550457,0.26892949923940374,0.40539148009942666,2,13,6,11070,1105,12,Jørgen Strand Larsen,Wolverhampton Wanderers,1.675449876114726,0.13646198086002292,3.301856629550457,0.26892949923940374,0.40539148009942666,1.6560516059398651,0.1348820312530207,5.893951270729303,0.4800503297426582
5,6.492534443736076,0.5410445369780064,0.6370601584203541,1,12,5,5220,1080,13,Kai Havertz,Arsenal,1.1521874573081732,0.09601562144234776,6.492534443736076,0.5410445369780064,0.6370601584203541,2.924992211163044,0.24374935093025366,9.274417415261269,0.772868117938439
5,3.623675934970379,0.40513147099047714,0.705557274406556,3,12,5,6818,805,14,James Maddison,Tottenham,2.6871419083327055,0.3004258034160789,3.623675934970379,0.40513147099047714,0.705557274406556,3.789755819365382,0.4236994083762539,8.444658920168877,0.9441233575344086
